Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG
193;Gabriel Jesus;br BRA;FW;Manchester City;23-261;1997;7.0;26;3.71;14;0;5;1;6;0;2;0.29;2;0;0;0;0;0;0
194;Raúl Jiménez;mx MEX;FW;Wolves;29-229;1991;9.1;22;2.41;11;0;3;4;2;2;4;0.44;1;0;1;2;0;0;0
195;Joelinton;br BRA;FW,MF;Newcastle Utd;24-128;1996;8.1;16;1.98;9;0;2;1;2;2;4;0.50;2;0;1;0;1;0;0
196;Ben Johnson;eng ENG;DF;West Ham;20-331;2000;0.6;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
197;Sam Johnstone;eng ENG;GK;West Brom;27-270;1993;13.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
198;Curtis Jones;eng ENG;MF;Liverpool;19-325;2001;5.8;19;3.27;15;0;1;0;1;2;2;0.34;2;0;0;0;0;0;0
199;Jorginho;it ITA;MF;Chelsea;29-000;1991;5.1;9;1.77;9;0;0;0;0;0;3;0.59;3;0;0;0;0;0;0
200;Diogo Jota;pt POR;FW;Liverpool;24-016;1996;5.6;13;2.33;9;0;1;2;1;0;1;0.18;0;0;1;0;0;0;0
201;James Justin;eng ENG;DF;Leicester City;22-301;1998;13.0;31;2.38;21;2;2;0;6;0;6;0.46;5;0;0;0;1;0;0
202;Aboubakar Kamara;fr FRA;FW,DF;Fulham;25-288;1995;3.1;5;1.60;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
203;Harry Kane;eng ENG;FW;Tottenham;27-145;1993;12.9;47;3.64;30;2;5;3;6;1;14;1.08;9;1;2;0;2;0;0
204;N'Golo Kanté;fr FRA;MF;Chelsea;29-266;1991;12.9;19;1.47;18;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0
205;Moise Kean;it ITA;FW;Everton;20-296;2000;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
206;Michael Keane;eng ENG;DF;Everton;27-344;1993;14.0;8;0.57;7;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0
